"scenario","region","year","age","sex","cardio_deaths","allcause_deaths","pop","n_countries","cardio_mortality_rate","cardio_mortality_rate_100k","allcause_mortality_rate","allcause_mortality_rate_100k","cardio_share"
"SSP5","East Asia & Pacific",2075,"45-49","Male",5386.86198403005,27421.931363829,47815500,20,0.000112659325616799,11.2659325616799,0.000573494606640713,57.3494606640713,0.196443566011386
"SSP5","East Asia & Pacific",2075,"50-54","Female",3373.30977763247,23866.3350019694,50491100,20,6.68099878519673e-05,6.68099878519673,0.00047268399781287,47.268399781287,0.141341759317219
"SSP5","East Asia & Pacific",2075,"50-54","Male",10366.8875583335,63130.4202243426,54412400,20,0.000190524357652548,19.0524357652548,0.00116022120370251,116.022120370251,0.16421382150623
"SSP5","East Asia & Pacific",2075,"55-59","Female",5665.40994523866,39660.7671781911,65068100,20,8.70689315538438e-05,8.70689315538438,0.000609527052091441,60.9527052091441,0.142846705909259
"SSP5","East Asia & Pacific",2075,"55-59","Male",17744.51733894,106570.371192115,71061500,20,0.000249706484368329,24.9706484368329,0.00149969211446585,149.969211446585,0.166505165933521
"SSP5","East Asia & Pacific",2075,"60-64","Female",12170.3938301823,71922.4801487207,67745600,20,0.000179648476508915,17.9648476508915,0.00106165537169529,106.165537169529,0.169215435911227
"SSP5","East Asia & Pacific",2075,"60-64","Male",37541.0838486136,201820.458770784,74350400,20,0.000504921074380415,50.4921074380415,0.00271445020834836,271.445020834836,0.186012280802763
"SSP5","East Asia & Pacific",2075,"65-69","Female",22714.3293716987,124391.360950619,63476100,20,0.000357840657691615,35.7840657691615,0.00195965664164338,195.965664164338,0.18260375317154
"SSP5","East Asia & Pacific",2075,"65-69","Male",57917.9199051788,308650.071790921,68947900,20,0.000840024422863913,84.0024422863913,0.00447656958066773,447.656958066773,0.187649137967518
"SSP5","East Asia & Pacific",2075,"70-74","Female",48979.6257042732,241217.370161778,59185400,20,0.000827562637141477,82.7562637141477,0.00407562287594201,407.562287594201,0.203051818662245
"SSP5","East Asia & Pacific",2075,"70-74","Male",104598.754237112,524972.112149376,62548900,20,0.00167227168242946,167.227168242946,0.00839298712126634,839.298712126634,0.199246306263502
"SSP5","East Asia & Pacific",2075,"75-79","Female",97244.0074203776,472701.549846352,58681200,20,0.0016571577851233,165.71577851233,0.00805541723492963,805.541723492963,0.205719671221696
"SSP5","East Asia & Pacific",2075,"75-79","Male",167842.480187518,870233.835381971,59109900,20,0.00283949863199766,283.949863199766,0.0147223026156696,1472.23026156696,0.192870551986579
"SSP5","East Asia & Pacific",2075,"80-84","Female",235613.217603254,1014914.58150398,63111900,20,0.00373326135963667,373.326135963667,0.0160811920018884,1608.11920018884,0.232150785787414
"SSP5","East Asia & Pacific",2075,"80-84","Male",335875.864604861,1640802.5097668,58947200,20,0.00569791041143364,569.791041143364,0.0278351221053213,2783.51221053213,0.204702188475198
"SSP5","East Asia & Pacific",2075,"85-89","Female",556972.350508945,2084834.42940697,60238500,20,0.00924611918472314,924.611918472314,0.0346096670635385,3460.96670635385,0.26715423663997
"SSP5","East Asia & Pacific",2075,"85-89","Male",658052.970093393,2841995.28921452,49798000,20,0.0132144457627494,1321.44457627494,0.05707047048505,5707.047048505,0.231546115713396
"SSP5","East Asia & Pacific",2075,"90-94","Female",703816.311450709,2684647.18740247,39760300,20,0.0177014839287105,1770.14839287105,0.0675207980674812,6752.07980674812,0.262163428681921
"SSP5","East Asia & Pacific",2075,"90-94","Male",667075.002502847,2937229.16729107,26972400,20,0.0247317629318432,2473.17629318432,0.108897582984498,10889.7582984498,0.227110301753565
"SSP5","East Asia & Pacific",2075,"95+","Female",862365.138873246,3746095.57264742,20022500,20,0.0430698034148206,4306.98034148206,0.18709429754763,18709.429754763,0.23020372068719
"SSP5","East Asia & Pacific",2075,"95+","Male",495709.589403993,2455530.1767613,9729201,20,0.050950698767966,5095.0698767966,0.252387649999347,25238.7649999347,0.201874769895032
"SSP5","East Asia & Pacific",2080,"0-4","Female",29.8185303609895,3746.51418699006,21145900,20,1.41013295064242e-06,0.141013295064242,0.000177174496568605,17.7174496568605,0.00795900639173761
"SSP5","East Asia & Pacific",2080,"0-4","Male",43.0679572271808,6784.01660909792,22463800,20,1.91721601987112e-06,0.191721601987112,0.000301997730085645,30.1997730085645,0.0063484451334366
"SSP5","East Asia & Pacific",2080,"5-9","Female",2.05335060589635,106.865024008206,13923000,11,1.47479035114297e-07,0.0147479035114297,7.67543087037318e-06,0.767543087037318,0.0192144307733341
"SSP5","East Asia & Pacific",2080,"5-9","Male",3.12760510353353,191.937353733204,16389700,16,1.90827477228597e-07,0.0190827477228597,1.17108521652748e-05,1.17108521652748,0.0162949266659212
"SSP5","East Asia & Pacific",2080,"10-14","Female",11.7415855644766,397.507680620368,23919400,20,4.90881274801067e-07,0.0490881274801067,1.66186309280487e-05,1.66186309280487,0.0295380092936876
"SSP5","East Asia & Pacific",2080,"10-14","Male",19.6226936472292,959.570686215558,25385300,20,7.72994356861223e-07,0.0772994356861223,3.78002499956888e-05,3.78002499956888,0.0204494509149909
"SSP5","East Asia & Pacific",2080,"15-19","Female",11.7363758110746,302.085135542523,25641500,20,4.57710188993412e-07,0.0457710188993412,1.17811023357652e-05,1.17811023357652,0.0388512191769942
